ID,Delivery_person_Age,Delivery_person_Ratings,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Distance_km,Prep_Time_min,Order_Hour,Time_taken(min)_Final,Data_Source
0x4607_x,37.0,4.9,Sunny,High,2,Snack,scooter,0,No,Metropolitian,3.0251492856775037,15.0,11,24.0,Actual (Training)
0xb379_x,34.0,4.5,Stormy,Jam,2,Snack,bicycle,1,No,Semi-Urban,20.183529728733618,5.0,19,33.0,Actual (Training)
0x20f7_x,37.0,4.4,Windy,High,0,Buffet,scooter,2,No,Semi-Urban,6.21086415606354,5.0,13,42.0,Actual (Training)
0x7804_x,28.0,4.9,Sandstorms,Low,1,Meal,bicycle,1,No,Metropolitian,3.0736184684147863,15.0,11,19.0,Actual (Training)
0x7faf_x,37.0,4.6,Stormy,Low,0,Meal,scooter,1,No,Semi-Urban,10.56497410160339,10.0,23,25.0,Actual (Training)
0x5218_x,20.0,4.7,Sunny,Medium,1,Drinks,bicycle,0,No,Semi-Urban,20.18126391655723,10.0,18,14.0,Actual (Training)
0xcafe_x,32.0,4.8,Stormy,Low,2,Buffet,bicycle,1,No,Metropolitian,19.471476176410082,10.0,22,29.0,Actual (Training)
0x8c03_x,34.0,5.0,Sandstorms,Medium,1,Buffet,scooter,1,No,Metropolitian,10.90628903651029,15.0,18,22.0,Actual (Training)
0xceec_x,37.0,4.6,Fog,Medium,0,Buffet,scooter,1,No,Semi-Urban,4.476870823146776,10.0,17,28.0,Actual (Training)
0x38c6_x,24.0,4.8,Windy,High,2,Meal,motorcycle,0,No,Metropolitian,5.959018323622379,5.0,13,12.0,Actual (Training)
0x5d6d,23.0,4.4,Sandstorms,Low,0,Drinks,scooter,1,No,Metropolitian,1.5527578022548725,15.0,8,26.0,Actual (Training)
0xfb5,23.0,4.2,Stormy,Medium,0,Buffet,scooter,1,No,Metropolitian,10.602497166339631,5.0,18,35.0,Actual (Training)
0xa4a2,34.0,4.8,Stormy,Low,2,Meal,motorcycle,1,No,Semi-Urban,14.022268860182423,5.0,23,27.0,Actual (Training)
0x81ae,22.0,4.7,Sunny,Low,2,Drinks,bicycle,0,No,Metropolitian,4.596738270616882,5.0,23,22.0,Actual (Training)
0x61d6,27.0,4.9,Fog,Low,1,Meal,scooter,0,No,Semi-Urban,13.406088270680275,5.0,22,29.0,Actual (Training)
0xa40f,29.0,4.7,Sandstorms,Low,2,Snack,bicycle,1,No,Semi-Urban,13.409462339213027,15.0,23,14.0,Actual (Training)
0xcbcc,20.0,4.9,Sandstorms,Low,2,Drinks,motorcycle,0,No,Metropolitian,10.280572823486576,5.0,22,15.0,Actual (Training)
0x6c5c,35.0,4.3,Windy,High,1,Snack,scooter,1,No,Metropolitian,6.147383751705428,5.0,14,34.0,Actual (Training)
0x2188,38.0,4.6,Stormy,Low,1,Buffet,scooter,0,No,Metropolitian,12.435540495461442,10.0,22,18.0,Actual (Training)
0x84eb,29.0,4.9,Fog,Medium,2,Buffet,scooter,1,No,Semi-Urban,4.65694538594946,15.0,17,14.0,Actual (Training)
0x8999,28.0,4.6,Stormy,Medium,1,Snack,scooter,0,No,Semi-Urban,6.081204324626466,5.0,15,27.0,Actual (Training)
0xd486,29.0,4.9,Stormy,Low,1,Snack,scooter,0,No,Metropolitian,7.325604384960364,10.0,23,10.0,Actual (Training)
0x6192,30.0,4.7,Sunny,Medium,1,Buffet,bicycle,0,No,Semi-Urban,4.528236597449021,1360.0,20,15.0,Actual (Training)
