Feature,Importance
Road_traffic_density_2,0.16580923
multiple_deliveries_2,0.16139612
Festival_2,0.10588926
Vehicle_condition_0,0.079276256
Weather_4,0.067120925
Road_traffic_density_1,0.046999324
Delivery_person_Ratings,0.035459466
Weather_1,0.031139195
Weather_0,0.030568566
Festival_1,0.02461633
City_2,0.019763662
Road_traffic_density_0,0.019643463
Festival_3,0.015076217
Road_traffic_density_3,0.0148502095
Delivery_person_Age,0.014162534
City_1,0.013372125
multiple_deliveries_0,0.011129628
Distance_km,0.0108171515
Weather_7,0.010535166
multiple_deliveries_1,0.010159871
Road_traffic_density_5,0.00914939
Weather_2,0.008378511
Weather_3,0.008136653
multiple_deliveries_3,0.008122998
City_4,0.0078135915
City_3,0.007390834
Order_Hour,0.0073835123
Weather_6,0.0066970806
Type_of_order_3,0.0052248472
Vehicle_condition_1,0.005175159
Type_of_vehicle_4,0.005141518
Type_of_order_0,0.005053448
Prep_Time_min,0.0046354644
Type_of_vehicle_3,0.0044302377
Type_of_order_1,0.004314021
Vehicle_condition_2,0.0042924127
Type_of_order_2,0.0036709507
Type_of_vehicle_2,0.0030125342
Vehicle_condition_3,0.002643791
Type_of_vehicle_1,0.0015483489
