ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Prep_Time_min,Order_Hour
0x4607_x,INDORES13DEL02,37,4.9,Sunny,High,2,Snack,scooter,0,1,Metropolitian,24.0,3.0251492856775037,15.0,11
0xb379_x,BANGRES18DEL02,34,4.5,Stormy,Jam,2,Snack,bicycle,1,1,Semi-Urban,33.0,20.183529728733618,5.0,19
0x20f7_x,BANGRES18DEL01,37,4.4,Windy,High,0,Buffet,scooter,2,1,Semi-Urban,42.0,6.21086415606354,5.0,13
0x7804_x,HYDRES13DEL02,28,4.9,Sandstorms,Low,1,Meal,bicycle,1,1,Metropolitian,19.0,3.0736184684147863,15.0,11
0x7faf_x,RANCHIRES07DEL01,37,4.6,Stormy,Low,0,Meal,scooter,1,1,Semi-Urban,25.0,10.56497410160339,10.0,23
0x5218_x,BANGRES02DEL02,20,4.7,Sunny,Medium,1,Drinks,bicycle,0,1,Semi-Urban,14.0,20.18126391655723,10.0,18
0xcafe_x,ALHRES13DEL02,32,4.8,Stormy,Low,2,Buffet,bicycle,1,1,Metropolitian,29.0,19.471476176410082,10.0,22
0x8c03_x,COIMBRES09DEL01,34,5.0,Sandstorms,Medium,1,Buffet,scooter,1,1,Metropolitian,22.0,10.90628903651029,15.0,18
0xceec_x,KNPRES04DEL03,37,4.6,Fog,Medium,0,Buffet,scooter,1,1,Semi-Urban,28.0,4.476870823146776,10.0,17
0x38c6_x,JAPRES11DEL01,24,4.8,Windy,High,2,Meal,motorcycle,0,1,Metropolitian,12.0,5.959018323622379,5.0,13
0x5d6d,BANGRES19DEL01,23,4.4,Sandstorms,Low,0,Drinks,scooter,1,1,Metropolitian,26.0,1.5527578022548725,15.0,8
0xfb5,VADRES05DEL01,23,4.2,Stormy,Medium,0,Buffet,scooter,1,1,Metropolitian,35.0,10.602497166339631,5.0,18
0xa4a2,COIMBRES010DEL03,34,4.8,Stormy,Low,2,Meal,motorcycle,1,1,Semi-Urban,27.0,14.022268860182423,5.0,23
